obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;model_id;model_name;support;nat_lang_template;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;violation;num_violations;cases
6cb4cc59-4cee-490f-95f8-200a78c982e9_Object_invoice_Object_invoice receipt;Multi-object;;Succession[invoice, invoice receipt] | | |;Binary;set();set();Succession;invoice;invoice receipt;['c29402e332d24592b6ccf23de3668a31', 'c96e600ddb7e49189eded1583f241966', '888965671e5a4ffc8371d037ee42fe27', '0ea3220f423447bba8b74fc4eae266cb', '83ba731d4b054652b5f412d9f3156411'];['W4 - P1(INTERMEDIATE-TIMER ENEVT) ', 'W4-P2(START-TIMER-EVENT) (VACATION)', 'W4-P1(INTERMEDIATE-TIMER-EVENT) ', 'W4-P2(INTERMEDIATE-TIMER-EVENT)', 'W4-P2(Start-Timer-Event)(Vacation)'];8;{1} occurs if and only if it is followed by {2};{'invoice': 0.7158427834510803, 'invoice receipt': 0.7916640639305115};0.7537534236907959;6cb4cc59-4cee-490f-95f8-200a78c982e9_Object_invoice_Object_invoice receipt;0.5059089699099141;6cb4cc59-4cee-490f-95f8-200a78c982e9_Object_invoice_Object_invoice receipt;3;['1', '2', '3']
6cb4cc59-4cee-490f-95f8-200a78c982e9_Object_invoice_Object_subsequent invoice;Multi-object;;Succession[invoice, subsequent invoice] | | |;Binary;set();set();Succession;invoice;subsequent invoice;['c29402e332d24592b6ccf23de3668a31', 'c96e600ddb7e49189eded1583f241966', '888965671e5a4ffc8371d037ee42fe27', '0ea3220f423447bba8b74fc4eae266cb', '83ba731d4b054652b5f412d9f3156411'];['W4 - P1(INTERMEDIATE-TIMER ENEVT) ', 'W4-P2(START-TIMER-EVENT) (VACATION)', 'W4-P1(INTERMEDIATE-TIMER-EVENT) ', 'W4-P2(INTERMEDIATE-TIMER-EVENT)', 'W4-P2(Start-Timer-Event)(Vacation)'];8;{1} occurs if and only if it is followed by {2};{'invoice': 0.7158427834510803, 'subsequent invoice': 0.8053135275840759};0.7605781555175781;6cb4cc59-4cee-490f-95f8-200a78c982e9_Object_invoice_Object_subsequent invoice;0.5093213358233052;6cb4cc59-4cee-490f-95f8-200a78c982e9_Object_invoice_Object_subsequent invoice;3;['1', '2', '3']
6cb4cc59-4cee-490f-95f8-200a78c982e9_Object_final invoice indicator_Object_invoice;Multi-object;;Succession[final invoice indicator, invoice] | | |;Binary;set();set();Succession;final invoice indicator;invoice;['c29402e332d24592b6ccf23de3668a31', 'c96e600ddb7e49189eded1583f241966', '888965671e5a4ffc8371d037ee42fe27', '0ea3220f423447bba8b74fc4eae266cb', '83ba731d4b054652b5f412d9f3156411'];['W4 - P1(INTERMEDIATE-TIMER ENEVT) ', 'W4-P2(START-TIMER-EVENT) (VACATION)', 'W4-P1(INTERMEDIATE-TIMER-EVENT) ', 'W4-P2(INTERMEDIATE-TIMER-EVENT)', 'W4-P2(Start-Timer-Event)(Vacation)'];8;{1} occurs if and only if it is followed by {2};{'final invoice indicator': 0.5791521668434143, 'invoice': 1.0};0.7895760834217072;6cb4cc59-4cee-490f-95f8-200a78c982e9_Object_final invoice indicator_Object_invoice;0.5238202997753697;6cb4cc59-4cee-490f-95f8-200a78c982e9_Object_final invoice indicator_Object_invoice;3;['1', '2', '3']
84cc09d3-371a-4ed4-ba04-52762991afd6_Object_goods receipt_Object_invoice;Multi-object;;Succession[goods receipt, invoice] | | |;Binary;set();set();Succession;goods receipt;invoice;['4c22ae98038342bb817c5a86db39d067'];['Assignment 3 '];1;{1} occurs if and only if it is followed by {2};{'goods receipt': 1.000000238418579, 'invoice': 1.0};1.0000001192092896;84cc09d3-371a-4ed4-ba04-52762991afd6_Object_goods receipt_Object_invoice;0.5161290918627093;84cc09d3-371a-4ed4-ba04-52762991afd6_Object_goods receipt_Object_invoice;3;['1', '2', '3']
3f8af14e-6a85-45d1-b006-073cdb1291ef_Object_invoice_Object_purchase order item;Multi-object;;Succession[invoice, purchase order item] | | |;Binary;set();set();Succession;invoice;purchase order item;['0454f87ea547417692576a911a14e17b'];['Week 2 Tutorial Activity 3 Jane Doe'];1;{1} occurs if and only if it is followed by {2};{'invoice': 1.0, 'purchase order item': 1.0};1.0;3f8af14e-6a85-45d1-b006-073cdb1291ef_Object_invoice_Object_purchase order item;0.5161290322580645;3f8af14e-6a85-45d1-b006-073cdb1291ef_Object_invoice_Object_purchase order item;3;['1', '2', '3']
35da8fb1-9712-4c69-bdb1-c0a8fa1ffac1_Object_purchase order item_Object_invoice;Multi-object;;Alternate Succession[purchase order item, invoice] | | |;Binary;set();set();Alternate Succession;purchase order item;invoice;['0454f87ea547417692576a911a14e17b'];['Week 2 Tutorial Activity 3 Jane Doe'];1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'purchase order item': 1.0, 'invoice': 1.0};1.0;35da8fb1-9712-4c69-bdb1-c0a8fa1ffac1_Object_purchase order item_Object_invoice;0.5161290322580645;35da8fb1-9712-4c69-bdb1-c0a8fa1ffac1_Object_purchase order item_Object_invoice;3;['1', '2', '3']
c7693b7d-36e9-40e9-8d85-49c453225557_Object_invoice_Object_goods receipt;Multi-object;;Alternate Succession[invoice, goods receipt] | | |;Binary;set();set();Alternate Succession;invoice;goods receipt;['80a97308464a48379371b272733659a0'];['traditional process'];1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'invoice': 1.0, 'goods receipt': 1.000000238418579};1.0000001192092896;c7693b7d-36e9-40e9-8d85-49c453225557_Object_invoice_Object_goods receipt;0.5161290918627093;c7693b7d-36e9-40e9-8d85-49c453225557_Object_invoice_Object_goods receipt;3;['1', '2', '3']
